"<b>One Phase</b> = collection transaction is done automatically, no intervention is required from the merchant. Option is suitable for services such as insurance, tickets / subscriptions, where "deposit" is made automatically for successfully completed transactions. <br/><b>Two Phase</b> = collection transaction takes place only after the merchant performs the collection operation. Option is suitable for goods services that require delivery.","<b>One Phase</b> = tranzacția se decontează automat fără a fi nevoie de finalizarea ei de către un operator, după verificarea stocului. Opțiunea este folosită îndeosebi pentru servicii gen asigurări/bilete/abonamente. <br/><b>Two Phase</b> = tranzacția necesită intervenție pentru trimiterea în decontare. Opțiunea este folosită îndeosebi serviciilor de bunuri care necesită livrare."
"%1 are refunded in Magento","%1 sunt rambursați în Magento"
"%1 are refunded online","%1 sunt rambursați online"
"3DS authorization has not been performed.","Autorizarea 3DS nu a fost efectuată."
"3DS2 authentication is declined by Authentication Response (ARes) – issuer","Autentificarea 3DS2 este refuzată de Authentication Response (ARes) – emitent"
"3DS2 authentication status in ARes is unknown - issuer","Starea de autentificare 3DS2 în ARes este necunoscută - emitent"
"3DS2 CReq cancelled - client","3DS2 CReq anulat - client"
"3DS2 CReq failed - client/issuer","3DS2 CReq a eșuat - client/emitent"
"3DS2 unknown status in RReq - issuer","Stare necunoscută 3DS2 în RReq - emitent"
"Access denied","Acces interzis"
"Active","Activ"
"Amount cannot be 0 or negative for online refund!","Suma returnată nu poate fi 0 sau negativă pentru rambursare online!"
"Amount is invalid","Valoarea comenzii nu este validă"
"Amount was captured.","Valoarea comenzii a fost depozitată."
"Authorization ACS initiated","Autorizarea ACS iniţializată"
"Authorization declined","Autorizarea refuzată"
"Authorization reversed","Autorizarea inversată"
"Authorization was declined. Order cannot be canceled.","Preautorizarea a eșuat. Comanda nu poate fi anulată."
"Authorized","Autorizat"
"Base Currency","Moneda de bază"
"BT cancel response:","Răspunsul de anulare BT:"
"BT capture response:","Răspunsul de depozitare BT:"
"BT iPay Payment","Plata prin BT iPay"
"BT Order ID","Nr. comandă BT"
"BT Order ID: ","Nr. comandă BT: "
"BT refund response:","Răspunsul de rambursare BT:"
"BT result response:","Răspunsul BT:"
"BT Status","Status BT"
"Callback","Callback"
"Cancel pending orders older than [hours]","Anulați comenzile în așteptare mai vechi de [ore]"
"Card blocked. Contact the issuing bank or retry the transaction with another card.","Card blocat. Contactați banca emitentă sau reîncercați tranzacția cu alt card."
"Card expired.","Card expirat."
"Card is expired","Cardul este expirat"
"Card is lost.","Cardul este pierdut."
"Card limitations exceeded.","Limitările cardului au fost depășite."
"Card number is incorrect.","Numărul cardului este incorect."
"Card restricted (temporary or permanent block).","Card restricționat (blocat temporar sau permanent)."
"Charged currency","Moneda taxată"
"Continue to BT iPay","Continuă spre BT iPay"
"Credit Memo Reference Number: %1","Număr Referinţă Rambursare: %1"
"Currency is not supported!","Moneda nu este acceptată!"
"Debug Logging","Înregistrare pentru depanare"
"Declined. Please, contact the Issuing bank.","Refuzat. Vă rugăm să contactați banca emitentă."
"Decryption Key (Base64)","Cheia de Decriptare (Base64)"
"Decryption key is not set!","Cheia de Decriptare nu este setată!"
"Deposited","Depozitat"
"Description On Bank Receipt","Descrierea de pe Extrasul Bancar"
"Error with cancel on transaction.","Eroare cu tranzacţia de anulare."
"Error with cancel on transaction: [Code: %1] %2","Eroare cu tranzacţia de anulare: [Cod: %1] %2"
"Error with capture on transaction.","Eroare cu tranzacţia de depozitare."
"Error with capture on transaction: [Code: %1] %2","Eroare cu tranzacţia de depozitare: [Cod: %1] %2"
"Error with capture on transaction: Wrong status, currency or deposited amount. Please contact bank.","Eroare cu tranzacţia de depozitare: Statusul, moneda sau suma depozitată sunt greşite. Vă rugăm contactaţi banca."
"Error with payment method. Please select different payment method.","Eroare cu metoda de plată. Vă rugăm folosiţi o altă metodă."
"Error with refund on transaction.","Eroare cu tranzacţia de rambursare."
"Error with refund on transaction: [Code: %1] %2","Eroare cu tranzacţia de rambursare: [Cod: %1] %2"
"Error with refund on transaction: The credit memo is missing.","Eroare cu tranzacţia de rambursare: Rambursarea lipsește."
"Error with refund on transaction: Wrong status, currency or refunded amount. Please contact bank.","Eroare cu tranzacţia de rambursare: Statusul, moneda sau suma rambursată sunt greşite. Vă rugăm contactaţi banca."
"Fetch Status","Preluare stare"
"Fraud is suspected.","Se suspectează fraudă."
"Illegal transaction.","Tranzacție ilegală."
"Inactive card. Please activate the card.","Card inactiv. Vă rugăm activați cardul."
"Installment transaction is not allowed with this card. Please use a credit card issued by Banca Transilvania.","Tranzacția în rate nu este permisă cu acest card. Te rugăm să folosești un card de credit emise de Banca Transilvania."
"Insufficient funds.","Fonduri insuficiente."
"Invalid account. Please contact the issuing bank.","Cont invalid. Vă rugăm contactați banca emitentă."
"Invalid card. It does not exist in the database.","Card invalid. Acesta nu există în baza de date."
"Invalid transaction. Contact the issuing bank or retry the transaction with another card.","Tranzacție invalidă. Contactați banca emitentă sau reîncercați tranzacția cu alt card."
"Invalid value of one of the parameters.","Valoarea nevalidă a unuia dintre parametri."
"Invoice was created.","Factura a fost creată."
"Issuer unavailable.","Emitent indisponibil."
"Issuing bank is not available.","Banca emitentă nu este disponibilă."
"Issuing bank was not able to perform the 3-D Secure card authorization.","Banca emitentă nu a putut efectua autorizarea cardului 3-D Secure."
"Fraud is suspected.","Suspect de fraudă."
"Leave empty or 0 to disable.","Lăsați gol sau 0 pentru a dezactiva."
"Logs can be found in ""/var/log/BTRL_Ipay/debug.log"" file.","Înregistrările pot fi găsite în locația ""/var/log/BTRL_Ipay/debug.log""."
"LOY BT Order ID","Nr. comandă BT pentru LOY"
"LOY BT Order ID: ","Nr. comandă BT pentru LOY: "
"LOY BT Status","Status BT LOY"
"LOY Paid Amount","Suma plătită în LOY"
"Miss-matched refunded amount!","Sumă rambursată nepotrivită!"
"New order status","Status comandă nouă"
"One Phase","1-Phase"
"Order cancel error: %1","Eroare anulare comandă: %1"
"Order number is missing or wrong.","Numărul comenzii lipsește sau este greșit."
"Order number or amount is empty","Numărul de comandă sau valoarea comenzii lipsește"
"Order registered, but not paid off","Comanda a fost înregistrată, dar plata nu a fost efectuată"
"Order status cannot be fetched: %1","Starea comenzii nu poate fi preluată: %1"
"Order status was fetched.","Starea comenzii a fost preluată."
"Order was cancelled by ""%1"" payment response.","Comanda a fost anulată de răspunsul metodei de plată ""%1""."
"Order with this number was already processed.","Comanda cu acest număr a fost deja procesată."
"Paid order status","Status comandă plătită"
"Password","Parola"
"Payload is not set!","Payload-ul nu este setat!"
"Payment from Specific Countries","Plata disponibilă pentru aceste ţări"
"Payment Link","Link de plată"
"Payment method is available for orders with a total above the set amount. Leave empty for the method to always be available.","Metoda de plată este disponibilă pentru comenzile cu un total mai mare decât cel completat. Lasaţi necompletat pentru ca metoda să fie mereu disponibilă."
"Payment method is available for orders with a total below the set amount. Leave empty for the method to always be available.","Metoda de plată este disponibilă pentru comenzile cu un total mai mic decât cel completat. Lasaţi necompletat pentru ca metoda să fie mereu disponibilă."
"Payment must be in correct state","Plata trebuie să fie cu statusul corect."
"Payment through","Plată prin"
"Payment was declined. Error: %1","Plata a fost anulată. Eroare: %1"
"Payment was declined. Please retry.","Plata a fost anulată. Vă rugăm reîncercați."
"Pre-authorization amount was held","Plata a fost preautorizată"
"Redirect URL: ","Link de redirecţionare: "
"Refund amount exceeds deposited amount.","Suma rambursată depășește suma depusă."
"Refunded","Rambursat"
"Refunded partially","Rambursat parțial"
"Refusal to perform the operation - the transaction is not allowed by the Issuing bank.","Refuzul efectuării operațiunii - tranzacția nu este permisă de Banca emitentă."
"Response Code: %1","Cod Răspuns: %1"
"Response Message: %1","Mesaj Răspuns: %1"
"SCA Exemption","Excepții SCA"
"Send Auto-Invoice Email","Trimite Email cu Factura creată automat"
"Session time limit.","Limită de timp pentru sesiune."
"Sort Order","Ordine afişare"
"Store Currency","Moneda de vizualizare a magazinului"
"System error","Eroare de sistem"
"Test mode?","Mod test?"
"The authorized amount is %1.","Suma autorizată este %1."
"The Issuing bank forbade internet transactions by the card.","Banca emitentă a interzis tranzacțiile pe internet cu cardul."
"The key is provided by Banca Transilvania.","Cheia este oferită de Banca Transilvania."
"The maximum number of attempts to enter PIN is exceeded. It is possible that the card is blocked temporary.","Numărul maxim de încercări de introducere a codului PIN este depășit. Este posibil ca cardul să fie blocat temporar."
"The order is declined because of an error in the payment credentials.","Comanda este refuzată din cauza unei erori în acreditările de plată."
"The payment-status will be updated automatically by default, but in case of any interruption you can use this action to fetch the payment status manually.","Starea plății va fi actualizată automat în mod implicit, dar în cazul oricărei întreruperi puteți folosi această acțiune pentru a prelua manual starea plății."
"The payment was cancelled by the payment agent.","Plata a fost anulată de agentul de plăți."
"The timer of waiting for a processing response has expired.","Temporizatorul de așteptare a unui răspuns de procesare a expirat."
"There is no connection to the Issuing bank.","Nu poate fi executată o conexiune cu banca emitentă."
"This works in agreement between merchant and BT. Not agreed exemptions will still go through 3DSecure verification.","Aceste excepții se agrează între comerciant și BT. Excepțiile neagreate vor trece în continuare prin verificarea 3DSecure."
"Title","Titlu"
"Transaction amount exceeds the available balance of the selected account.","Valoarea tranzacției depășește soldul disponibil al contului selectat."
"Transaction amount is incorrect.","Suma tranzacției este incorectă."
"Transaction cannot be authorized due to government, central bank or financial institution agreement, laws or regulations.","Tranzacția nu poate fi autorizată din cauza acordului guvernului, băncii centrale sau instituției financiare, legi sau reglementări."
"Transaction is rejected since Client's IP address is in the black list.","Tranzacția este respinsă deoarece adresa IP a clientului este în lista neagră."
"Transaction is rejected since the amount exceeds the limits specified by the Issuing bank.","Tranzacția este respinsă deoarece suma depășește limitele specificate de banca emitentă."
"Transaction is rejected since the card number is in the black list.","Tranzacția este respinsă deoarece numărul cardului este în lista neagră."
"Transaction limit exceeded.","Limită tranzacționare depășită."
"Transaction not permitted. Contact the issuing bank or retry the transaction with another card.","Tranzacția nu este permisă. Contactați banca emitentă sau reîncercați tranzacția cu alt card."
"Transaction rejected.","Tranzacție respinsă."
"Transaction was rejected because the payment amount exceeded the established limits.","Tranzacția a fost respinsă deoarece suma plății a depășit limitele stabilite."
"Two Phase","2-Phase"
"Unknown currency","Moneda necunoscută"
"Unpaid","Neplătit"
"Unregistered order ID.","ID comandă neînregistrată."
"Update Payment Status","Actualizați starea plății"
"Username","Username"
"Wrong card expiration date.","Dată expirare card greșită."
"Wrong CVV.","CVV greșit."
"Wrong order number","Număr de comandă greșit"
"You can charge in the base currency or the store view currency selected by user. Please note that not all currencies might be accepted by the bank.","Puteți prelua plata în moneda de bază sau în moneda de vizualizare a magazinului selectată de utilizator. Vă rugăm să rețineți că nu toate monedele pot fi acceptate de bancă."
